fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
70,28847,Wolves,Brighton,Wolverhampton Wanderers,Brighton
64,28841,Brentford,Man City,Brentford,Manchester City
77,28854,Nott'm Forest,Chelsea,Nottingham Forest,Chelsea
71,28848,Brighton,Newcastle,Brighton,Newcastle United
72,28849,Burnley,Leeds,Burnley,Leeds
73,28850,Crystal Palace,Bournemouth,Crystal Palace,Bournemouth
76,28853,Man City,Everton,Manchester City,Everton
78,28855,Sunderland,Wolves,Sunderland,Wolverhampton Wanderers
74,28851,Fulham,Arsenal,Fulham,Arsenal
79,28856,Spurs,Aston Villa,Tottenham,Aston Villa
75,28852,Liverpool,Man Utd,Liverpool,Manchester United
80,28857,West Ham,Brentford,West Ham,Brentford
87,28864,Leeds,West Ham,Leeds,West Ham
85,28862,Chelsea,Sunderland,Chelsea,Sunderland
89,28866,Newcastle,Fulham,Newcastle United,Fulham
88,28865,Man Utd,Brighton,Manchester United,Brighton
84,28861,Brentford,Liverpool,Brentford,Liverpool
81,28859,Arsenal,Crystal Palace,Arsenal,Crystal Palace
82,28860,Aston Villa,Man City,Aston Villa,Manchester City
83,28858,Bournemouth,Nott'm Forest,Bournemouth,Nottingham Forest
90,28867,Wolves,Burnley,Wolverhampton Wanderers,Burnley
86,28863,Everton,Spurs,Everton,Tottenham
91,28868,Brighton,Leeds,Brighton,Leeds
92,28869,Burnley,Arsenal,Burnley,Arsenal
93,28870,Crystal Palace,Brentford,Crystal Palace,Brentford
94,28871,Fulham,Wolves,Fulham,Wolverhampton Wanderers
97,28874,Nott'm Forest,Man Utd,Nottingham Forest,Manchester United
99,28876,Spurs,Chelsea,Tottenham,Chelsea
95,28872,Liverpool,Aston Villa,Liverpool,Aston Villa
100,28877,West Ham,Newcastle,West Ham,Newcastle United
96,28873,Man City,Bournemouth,Manchester City,Bournemouth
98,28875,Sunderland,Everton,Sunderland,Everton
109,28886,Spurs,Man Utd,Tottenham,Manchester United
105,28882,Everton,Fulham,Everton,Fulham
110,28887,West Ham,Burnley,West Ham,Burnley
108,28885,Sunderland,Arsenal,Sunderland,Arsenal
103,28880,Chelsea,Wolves,Chelsea,Wolverhampton Wanderers
101,28878,Aston Villa,Bournemouth,Aston Villa,Bournemouth
102,28879,Brentford,Newcastle,Brentford,Newcastle United
104,28881,Crystal Palace,Brighton,Crystal Palace,Brighton
107,28884,Nott'm Forest,Leeds,Nottingham Forest,Leeds
106,28883,Man City,Liverpool,Manchester City,Liverpool
114,28891,Burnley,Chelsea,Burnley,Chelsea
112,28888,Bournemouth,West Ham,Bournemouth,West Ham
113,28890,Brighton,Brentford,Brighton,Brentford
115,28892,Fulham,Sunderland,Fulham,Sunderland
117,28894,Liverpool,Nott'm Forest,Liverpool,Nottingham Forest
120,28897,Wolves,Crystal Palace,Wolverhampton Wanderers,Crystal Palace
119,28896,Newcastle,Man City,Newcastle United,Manchester City
116,28893,Leeds,Aston Villa,Leeds,Aston Villa
